association_id,gene_id,disease_id,confidence_score,evidence_level
ASSOC00001,GENE0301,DIS0146,0.87,Emerging
ASSOC00002,GENE1032,DIS0346,0.81,Moderate
ASSOC00003,GENE0487,DIS0382,0.83,Emerging
ASSOC00004,GENE0896,DIS0414,0.75,Emerging
ASSOC00005,GENE0217,DIS0482,0.54,Strong
ASSOC00006,GENE0485,DIS0055,0.87,Emerging
ASSOC00007,GENE1390,DIS0432,0.64,Moderate
ASSOC00008,GENE0379,DIS0343,0.67,Emerging
ASSOC00009,GENE0772,DIS0370,0.7,Strong
ASSOC00010,GENE0988,DIS0444,0.96,Moderate
ASSOC00011,GENE0109,DIS0395,0.82,Strong
ASSOC00012,GENE1447,DIS0317,0.95,Moderate
ASSOC00013,GENE0976,DIS0179,0.61,Emerging
ASSOC00014,GENE1122,DIS0389,0.56,Emerging
ASSOC00015,GENE0494,DIS0401,0.93,Emerging
ASSOC00016,GENE1431,DIS0434,0.87,Emerging
ASSOC00017,GENE0463,DIS0224,0.59,Emerging
ASSOC00018,GENE0700,DIS0336,0.81,Emerging
ASSOC00019,GENE0753,DIS0161,0.54,Moderate
ASSOC00020,GENE0976,DIS0445,0.68,Moderate
ASSOC00021,GENE0306,DIS0065,0.74,Emerging
ASSOC00022,GENE0585,DIS0126,0.86,Strong
ASSOC00023,GENE1114,DIS0367,0.71,Moderate
ASSOC00024,GENE1036,DIS0322,0.75,Emerging
ASSOC00025,GENE0626,DIS0478,0.69,Strong
ASSOC00026,GENE0388,DIS0136,0.68,Emerging
ASSOC00027,GENE0503,DIS0214,0.55,Emerging
ASSOC00028,GENE0870,DIS0459,0.55,Emerging
ASSOC00029,GENE0694,DIS0293,0.81,Strong
ASSOC00030,GENE1090,DIS0389,0.78,Emerging
ASSOC00031,GENE0780,DIS0244,0.7,Moderate
ASSOC00032,GENE1147,DIS0040,0.64,Emerging
ASSOC00033,GENE1046,DIS0100,0.61,Strong
ASSOC00034,GENE0560,DIS0354,0.61,Emerging
ASSOC00035,GENE0609,DIS0005,0.51,Moderate
ASSOC00036,GENE1017,DIS0328,0.65,Strong
ASSOC00037,GENE0465,DIS0104,0.53,Strong
ASSOC00038,GENE0699,DIS0356,0.7,Emerging
ASSOC00039,GENE1344,DIS0128,0.89,Moderate
ASSOC00040,GENE0517,DIS0480,0.81,Emerging
ASSOC00041,GENE0693,DIS0011,0.93,Emerging
ASSOC00042,GENE0941,DIS0151,0.62,Strong
ASSOC00043,GENE0612,DIS0080,0.65,Strong
ASSOC00044,GENE0332,DIS0385,0.99,Emerging
ASSOC00045,GENE1409,DIS0438,0.73,Moderate
ASSOC00046,GENE1275,DIS0073,0.9,Strong
ASSOC00047,GENE0074,DIS0500,0.79,Emerging
ASSOC00048,GENE0830,DIS0373,0.92,Strong
ASSOC00049,GENE1308,DIS0435,0.66,Emerging
ASSOC00050,GENE0488,DIS0150,0.87,Emerging
ASSOC00051,GENE1023,DIS0039,0.51,Strong
ASSOC00052,GENE1404,DIS0403,0.96,Emerging
ASSOC00053,GENE0777,DIS0323,0.68,Moderate
ASSOC00054,GENE0254,DIS0460,0.53,Strong
ASSOC00055,GENE0061,DIS0179,0.52,Emerging
ASSOC00056,GENE0275,DIS0453,0.73,Strong
ASSOC00057,GENE0151,DIS0335,0.79,Strong
ASSOC00058,GENE0626,DIS0157,0.74,Strong
ASSOC00059,GENE1336,DIS0353,0.84,Emerging
ASSOC00060,GENE0453,DIS0175,0.79,Emerging
ASSOC00061,GENE0687,DIS0146,0.63,Strong
ASSOC00062,GENE0381,DIS0109,0.77,Emerging
ASSOC00063,GENE1183,DIS0461,0.87,Strong
ASSOC00064,GENE1286,DIS0401,0.75,Emerging
ASSOC00065,GENE1052,DIS0230,0.9,Moderate
ASSOC00066,GENE0481,DIS0102,0.61,Moderate
ASSOC00067,GENE0443,DIS0193,0.62,Strong
ASSOC00068,GENE0089,DIS0063,0.76,Strong
ASSOC00069,GENE1396,DIS0494,0.55,Strong
ASSOC00070,GENE1185,DIS0019,0.87,Moderate
ASSOC00071,GENE1265,DIS0371,0.77,Emerging
ASSOC00072,GENE0018,DIS0141,0.7,Strong
ASSOC00073,GENE0041,DIS0081,0.62,Strong
ASSOC00074,GENE0811,DIS0213,0.83,Moderate
ASSOC00075,GENE0416,DIS0043,0.8,Emerging
ASSOC00076,GENE0661,DIS0191,0.99,Strong
ASSOC00077,GENE0351,DIS0065,0.71,Emerging
ASSOC00078,GENE0123,DIS0272,0.61,Strong
ASSOC00079,GENE1463,DIS0139,0.71,Emerging
ASSOC00080,GENE0092,DIS0494,0.95,Emerging
ASSOC00081,GENE1057,DIS0417,0.94,Strong
ASSOC00082,GENE0887,DIS0122,0.63,Strong
ASSOC00083,GENE1298,DIS0087,0.93,Emerging
ASSOC00084,GENE0681,DIS0113,0.52,Moderate
ASSOC00085,GENE1189,DIS0302,0.91,Strong
ASSOC00086,GENE1065,DIS0438,0.67,Moderate
ASSOC00087,GENE0516,DIS0117,0.76,Strong
ASSOC00088,GENE1121,DIS0283,0.77,Emerging
ASSOC00089,GENE1425,DIS0359,0.97,Strong
ASSOC00090,GENE0157,DIS0052,0.7,Moderate
ASSOC00091,GENE0620,DIS0427,0.82,Strong
ASSOC00092,GENE0097,DIS0082,0.51,Strong
ASSOC00093,GENE0902,DIS0260,0.62,Emerging
ASSOC00094,GENE1224,DIS0398,0.92,Emerging
ASSOC00095,GENE0438,DIS0147,0.51,Emerging
ASSOC00096,GENE0472,DIS0084,0.7,Emerging
ASSOC00097,GENE0091,DIS0401,0.84,Moderate
ASSOC00098,GENE0194,DIS0453,0.73,Emerging
ASSOC00099,GENE1071,DIS0325,0.96,Moderate
ASSOC00100,GENE1231,DIS0381,0.53,Strong
ASSOC00101,GENE0061,DIS0020,0.75,Strong
ASSOC00102,GENE1121,DIS0196,0.66,Emerging
ASSOC00103,GENE0523,DIS0191,0.54,Emerging
ASSOC00104,GENE0519,DIS0400,0.53,Strong
ASSOC00105,GENE1188,DIS0191,0.83,Emerging
ASSOC00106,GENE0834,DIS0201,0.64,Strong
ASSOC00107,GENE1029,DIS0178,0.59,Strong
ASSOC00108,GENE0484,DIS0240,0.87,Moderate
ASSOC00109,GENE0588,DIS0084,0.57,Emerging
ASSOC00110,GENE0838,DIS0374,0.55,Emerging
ASSOC00111,GENE0743,DIS0126,0.78,Strong
ASSOC00112,GENE0257,DIS0464,0.7,Emerging
ASSOC00113,GENE0033,DIS0445,0.54,Strong
ASSOC00114,GENE1179,DIS0260,0.67,Moderate
ASSOC00115,GENE0330,DIS0300,0.95,Strong
ASSOC00116,GENE0477,DIS0208,0.64,Emerging
ASSOC00117,GENE0330,DIS0257,0.62,Strong
ASSOC00118,GENE1142,DIS0235,0.53,Moderate
ASSOC00119,GENE0791,DIS0101,0.79,Moderate
ASSOC00120,GENE1003,DIS0319,0.94,Emerging
ASSOC00121,GENE0577,DIS0369,0.66,Moderate
ASSOC00122,GENE0672,DIS0133,0.98,Strong
ASSOC00123,GENE0326,DIS0325,0.63,Emerging
ASSOC00124,GENE0837,DIS0125,0.78,Moderate
ASSOC00125,GENE1404,DIS0224,0.64,Strong
ASSOC00126,GENE0785,DIS0454,0.65,Moderate
ASSOC00127,GENE1291,DIS0218,0.71,Moderate
ASSOC00128,GENE0895,DIS0146,0.66,Strong
ASSOC00129,GENE0637,DIS0088,0.89,Strong
ASSOC00130,GENE0326,DIS0065,0.72,Strong
ASSOC00131,GENE1370,DIS0196,0.84,Strong
ASSOC00132,GENE0058,DIS0152,0.69,Moderate
ASSOC00133,GENE1207,DIS0433,0.55,Strong
ASSOC00134,GENE0358,DIS0035,0.53,Emerging
ASSOC00135,GENE1167,DIS0293,0.98,Moderate
ASSOC00136,GENE0513,DIS0430,0.93,Moderate
ASSOC00137,GENE1473,DIS0130,0.58,Emerging
ASSOC00138,GENE0945,DIS0026,0.97,Strong
ASSOC00139,GENE1003,DIS0142,0.91,Moderate
ASSOC00140,GENE1348,DIS0478,0.53,Moderate
ASSOC00141,GENE1388,DIS0435,0.53,Emerging
ASSOC00142,GENE0855,DIS0253,0.89,Strong
ASSOC00143,GENE0129,DIS0368,0.56,Moderate
ASSOC00144,GENE0403,DIS0238,0.98,Emerging
ASSOC00145,GENE0430,DIS0227,0.95,Strong
ASSOC00146,GENE0163,DIS0022,0.9,Emerging
ASSOC00147,GENE0841,DIS0173,0.93,Moderate
ASSOC00148,GENE0819,DIS0091,0.84,Emerging
ASSOC00149,GENE1177,DIS0296,0.73,Strong
ASSOC00150,GENE0959,DIS0143,0.82,Strong
ASSOC00151,GENE1499,DIS0369,0.82,Strong
ASSOC00152,GENE1500,DIS0003,0.85,Moderate
ASSOC00153,GENE1355,DIS0128,0.62,Emerging
ASSOC00154,GENE0562,DIS0293,0.8,Emerging
ASSOC00155,GENE0308,DIS0105,0.97,Strong
ASSOC00156,GENE1266,DIS0122,0.65,Strong
ASSOC00157,GENE1080,DIS0404,0.51,Emerging
ASSOC00158,GENE0533,DIS0073,0.82,Emerging
ASSOC00159,GENE0805,DIS0199,0.94,Strong
ASSOC00160,GENE0404,DIS0378,0.81,Emerging
ASSOC00161,GENE0603,DIS0439,0.68,Moderate
ASSOC00162,GENE0279,DIS0272,0.98,Strong
ASSOC00163,GENE1088,DIS0377,0.97,Strong
ASSOC00164,GENE0142,DIS0122,0.71,Strong
ASSOC00165,GENE1374,DIS0140,0.54,Emerging
ASSOC00166,GENE0309,DIS0170,0.57,Strong
ASSOC00167,GENE0936,DIS0039,0.68,Emerging
ASSOC00168,GENE0323,DIS0412,0.76,Emerging
ASSOC00169,GENE0068,DIS0148,0.63,Moderate
ASSOC00170,GENE0230,DIS0491,0.53,Moderate
ASSOC00171,GENE0050,DIS0159,0.53,Strong
ASSOC00172,GENE0157,DIS0211,0.59,Emerging
ASSOC00173,GENE0985,DIS0028,0.99,Moderate
ASSOC00174,GENE0470,DIS0418,0.58,Moderate
ASSOC00175,GENE1476,DIS0047,0.52,Moderate
ASSOC00176,GENE0645,DIS0174,0.75,Emerging
ASSOC00177,GENE1067,DIS0500,0.97,Strong
ASSOC00178,GENE1487,DIS0159,0.52,Strong
ASSOC00179,GENE1299,DIS0016,0.92,Strong
ASSOC00180,GENE0966,DIS0056,0.86,Emerging
ASSOC00181,GENE1296,DIS0356,0.77,Moderate
ASSOC00182,GENE0111,DIS0073,0.85,Emerging
ASSOC00183,GENE0137,DIS0045,0.93,Emerging
ASSOC00184,GENE0432,DIS0408,0.58,Moderate
ASSOC00185,GENE0264,DIS0385,0.58,Moderate
ASSOC00186,GENE0260,DIS0456,0.58,Moderate
ASSOC00187,GENE0687,DIS0357,0.94,Emerging
ASSOC00188,GENE0364,DIS0168,0.84,Moderate
ASSOC00189,GENE0597,DIS0374,0.6,Moderate
ASSOC00190,GENE1046,DIS0447,0.83,Moderate
ASSOC00191,GENE1326,DIS0148,0.69,Moderate
ASSOC00192,GENE0474,DIS0487,0.65,Strong
ASSOC00193,GENE0256,DIS0339,0.77,Emerging
ASSOC00194,GENE0752,DIS0128,0.72,Moderate
ASSOC00195,GENE1232,DIS0494,0.97,Strong
ASSOC00196,GENE0439,DIS0273,0.71,Moderate
ASSOC00197,GENE0811,DIS0217,0.87,Moderate
ASSOC00198,GENE1198,DIS0239,0.81,Strong
ASSOC00199,GENE1333,DIS0206,0.98,Emerging
ASSOC00200,GENE1115,DIS0495,0.91,Strong
ASSOC00201,GENE1434,DIS0451,0.51,Strong
ASSOC00202,GENE0541,DIS0236,0.76,Emerging
ASSOC00203,GENE0901,DIS0258,0.55,Emerging
ASSOC00204,GENE0278,DIS0188,0.75,Emerging
ASSOC00205,GENE1195,DIS0158,0.58,Moderate
ASSOC00206,GENE0067,DIS0330,0.8,Emerging
ASSOC00207,GENE0530,DIS0182,0.75,Strong
ASSOC00208,GENE0136,DIS0026,0.99,Emerging
ASSOC00209,GENE0293,DIS0500,0.59,Emerging
ASSOC00210,GENE0468,DIS0198,0.63,Strong
ASSOC00211,GENE0635,DIS0342,0.68,Emerging
ASSOC00212,GENE0462,DIS0298,0.56,Strong
ASSOC00213,GENE1021,DIS0244,0.6,Strong
ASSOC00214,GENE0961,DIS0093,0.65,Strong
ASSOC00215,GENE0127,DIS0405,0.56,Emerging
ASSOC00216,GENE1170,DIS0254,0.69,Moderate
ASSOC00217,GENE1279,DIS0453,0.64,Emerging
ASSOC00218,GENE1400,DIS0239,0.72,Emerging
ASSOC00219,GENE0660,DIS0430,0.99,Emerging
ASSOC00220,GENE1145,DIS0348,0.53,Emerging
ASSOC00221,GENE1247,DIS0417,0.87,Strong
ASSOC00222,GENE0788,DIS0227,0.65,Moderate
ASSOC00223,GENE0688,DIS0267,0.98,Emerging
ASSOC00224,GENE0730,DIS0344,0.89,Strong
ASSOC00225,GENE1061,DIS0048,0.76,Moderate
ASSOC00226,GENE0011,DIS0148,0.52,Strong
ASSOC00227,GENE0709,DIS0100,0.99,Moderate
ASSOC00228,GENE0364,DIS0108,0.78,Moderate
ASSOC00229,GENE1227,DIS0275,0.6,Strong
ASSOC00230,GENE0644,DIS0499,0.56,Strong
ASSOC00231,GENE1488,DIS0141,0.69,Strong
ASSOC00232,GENE1199,DIS0426,0.98,Emerging
ASSOC00233,GENE1335,DIS0064,0.52,Emerging
ASSOC00234,GENE1115,DIS0116,0.74,Strong
ASSOC00235,GENE1393,DIS0089,0.96,Moderate
ASSOC00236,GENE0892,DIS0322,0.7,Emerging
ASSOC00237,GENE1396,DIS0453,0.85,Moderate
ASSOC00238,GENE0409,DIS0222,0.65,Strong
ASSOC00239,GENE0642,DIS0221,0.55,Moderate
ASSOC00240,GENE0013,DIS0034,0.59,Moderate
ASSOC00241,GENE0288,DIS0280,0.79,Strong
ASSOC00242,GENE1057,DIS0113,0.55,Strong
ASSOC00243,GENE0621,DIS0177,0.55,Emerging
ASSOC00244,GENE0760,DIS0111,0.81,Emerging
ASSOC00245,GENE0812,DIS0399,0.8,Strong
ASSOC00246,GENE0720,DIS0223,0.9,Emerging
ASSOC00247,GENE1055,DIS0072,0.55,Strong
ASSOC00248,GENE0920,DIS0411,0.83,Emerging
ASSOC00249,GENE1116,DIS0499,0.68,Moderate
ASSOC00250,GENE0959,DIS0045,0.84,Emerging
ASSOC00251,GENE0367,DIS0326,0.99,Emerging
ASSOC00252,GENE1329,DIS0336,0.72,Strong
ASSOC00253,GENE0371,DIS0072,0.81,Strong
ASSOC00254,GENE0284,DIS0036,0.53,Emerging
ASSOC00255,GENE1329,DIS0309,0.65,Moderate
ASSOC00256,GENE0194,DIS0211,0.54,Strong
ASSOC00257,GENE1079,DIS0359,0.63,Strong
ASSOC00258,GENE0736,DIS0372,0.77,Emerging
ASSOC00259,GENE1397,DIS0053,0.91,Emerging
ASSOC00260,GENE0778,DIS0481,0.91,Moderate
ASSOC00261,GENE0266,DIS0429,0.63,Moderate
ASSOC00262,GENE1439,DIS0191,0.9,Moderate
ASSOC00263,GENE0064,DIS0133,0.81,Strong
ASSOC00264,GENE0906,DIS0249,0.59,Emerging
