publication_id,title,journal,year,doi
PUB0001,Genomic Study 1,Nature,2015,10.1000/dgm.0001
PUB0002,Genomic Study 2,Science,2016,10.1000/dgm.0002
PUB0003,Genomic Study 3,Cell,2017,10.1000/dgm.0003
PUB0004,Genomic Study 4,Lancet,2018,10.1000/dgm.0004
PUB0005,Genomic Study 5,NEJM,2019,10.1000/dgm.0005
PUB0006,Genomic Study 6,Nature,2020,10.1000/dgm.0006
PUB0007,Genomic Study 7,Science,2021,10.1000/dgm.0007
PUB0008,Genomic Study 8,Cell,2022,10.1000/dgm.0008
PUB0009,Genomic Study 9,Lancet,2023,10.1000/dgm.0009
PUB0010,Genomic Study 10,NEJM,2024,10.1000/dgm.0010
PUB0011,Genomic Study 11,Nature,2025,10.1000/dgm.0011
PUB0012,Genomic Study 12,Science,2015,10.1000/dgm.0012
PUB0013,Genomic Study 13,Cell,2016,10.1000/dgm.0013
PUB0014,Genomic Study 14,Lancet,2017,10.1000/dgm.0014
PUB0015,Genomic Study 15,NEJM,2018,10.1000/dgm.0015
PUB0016,Genomic Study 16,Nature,2019,10.1000/dgm.0016
PUB0017,Genomic Study 17,Science,2020,10.1000/dgm.0017
PUB0018,Genomic Study 18,Cell,2021,10.1000/dgm.0018
PUB0019,Genomic Study 19,Lancet,2022,10.1000/dgm.0019
PUB0020,Genomic Study 20,NEJM,2023,10.1000/dgm.0020
PUB0021,Genomic Study 21,Nature,2024,10.1000/dgm.0021
PUB0022,Genomic Study 22,Science,2025,10.1000/dgm.0022
PUB0023,Genomic Study 23,Cell,2015,10.1000/dgm.0023
PUB0024,Genomic Study 24,Lancet,2016,10.1000/dgm.0024
PUB0025,Genomic Study 25,NEJM,2017,10.1000/dgm.0025
PUB0026,Genomic Study 26,Nature,2018,10.1000/dgm.0026
PUB0027,Genomic Study 27,Science,2019,10.1000/dgm.0027
PUB0028,Genomic Study 28,Cell,2020,10.1000/dgm.0028
PUB0029,Genomic Study 29,Lancet,2021,10.1000/dgm.0029
PUB0030,Genomic Study 30,NEJM,2022,10.1000/dgm.0030
PUB0031,Genomic Study 31,Nature,2023,10.1000/dgm.0031
PUB0032,Genomic Study 32,Science,2024,10.1000/dgm.0032
PUB0033,Genomic Study 33,Cell,2025,10.1000/dgm.0033
PUB0034,Genomic Study 34,Lancet,2015,10.1000/dgm.0034
PUB0035,Genomic Study 35,NEJM,2016,10.1000/dgm.0035
PUB0036,Genomic Study 36,Nature,2017,10.1000/dgm.0036
PUB0037,Genomic Study 37,Science,2018,10.1000/dgm.0037
PUB0038,Genomic Study 38,Cell,2019,10.1000/dgm.0038
PUB0039,Genomic Study 39,Lancet,2020,10.1000/dgm.0039
PUB0040,Genomic Study 40,NEJM,2021,10.1000/dgm.0040
PUB0041,Genomic Study 41,Nature,2022,10.1000/dgm.0041
PUB0042,Genomic Study 42,Science,2023,10.1000/dgm.0042
PUB0043,Genomic Study 43,Cell,2024,10.1000/dgm.0043
PUB0044,Genomic Study 44,Lancet,2025,10.1000/dgm.0044
PUB0045,Genomic Study 45,NEJM,2015,10.1000/dgm.0045
PUB0046,Genomic Study 46,Nature,2016,10.1000/dgm.0046
PUB0047,Genomic Study 47,Science,2017,10.1000/dgm.0047
PUB0048,Genomic Study 48,Cell,2018,10.1000/dgm.0048
PUB0049,Genomic Study 49,Lancet,2019,10.1000/dgm.0049
PUB0050,Genomic Study 50,NEJM,2020,10.1000/dgm.0050
PUB0051,Genomic Study 51,Nature,2021,10.1000/dgm.0051
PUB0052,Genomic Study 52,Science,2022,10.1000/dgm.0052
PUB0053,Genomic Study 53,Cell,2023,10.1000/dgm.0053
PUB0054,Genomic Study 54,Lancet,2024,10.1000/dgm.0054
PUB0055,Genomic Study 55,NEJM,2025,10.1000/dgm.0055
PUB0056,Genomic Study 56,Nature,2015,10.1000/dgm.0056
PUB0057,Genomic Study 57,Science,2016,10.1000/dgm.0057
PUB0058,Genomic Study 58,Cell,2017,10.1000/dgm.0058
PUB0059,Genomic Study 59,Lancet,2018,10.1000/dgm.0059
PUB0060,Genomic Study 60,NEJM,2019,10.1000/dgm.0060
PUB0061,Genomic Study 61,Nature,2020,10.1000/dgm.0061
PUB0062,Genomic Study 62,Science,2021,10.1000/dgm.0062
PUB0063,Genomic Study 63,Cell,2022,10.1000/dgm.0063
PUB0064,Genomic Study 64,Lancet,2023,10.1000/dgm.0064
PUB0065,Genomic Study 65,NEJM,2024,10.1000/dgm.0065
PUB0066,Genomic Study 66,Nature,2025,10.1000/dgm.0066
PUB0067,Genomic Study 67,Science,2015,10.1000/dgm.0067
PUB0068,Genomic Study 68,Cell,2016,10.1000/dgm.0068
PUB0069,Genomic Study 69,Lancet,2017,10.1000/dgm.0069
PUB0070,Genomic Study 70,NEJM,2018,10.1000/dgm.0070
PUB0071,Genomic Study 71,Nature,2019,10.1000/dgm.0071
PUB0072,Genomic Study 72,Science,2020,10.1000/dgm.0072
PUB0073,Genomic Study 73,Cell,2021,10.1000/dgm.0073
PUB0074,Genomic Study 74,Lancet,2022,10.1000/dgm.0074
PUB0075,Genomic Study 75,NEJM,2023,10.1000/dgm.0075
PUB0076,Genomic Study 76,Nature,2024,10.1000/dgm.0076
PUB0077,Genomic Study 77,Science,2025,10.1000/dgm.0077
PUB0078,Genomic Study 78,Cell,2015,10.1000/dgm.0078
PUB0079,Genomic Study 79,Lancet,2016,10.1000/dgm.0079
PUB0080,Genomic Study 80,NEJM,2017,10.1000/dgm.0080
PUB0081,Genomic Study 81,Nature,2018,10.1000/dgm.0081
PUB0082,Genomic Study 82,Science,2019,10.1000/dgm.0082
PUB0083,Genomic Study 83,Cell,2020,10.1000/dgm.0083
PUB0084,Genomic Study 84,Lancet,2021,10.1000/dgm.0084
PUB0085,Genomic Study 85,NEJM,2022,10.1000/dgm.0085
PUB0086,Genomic Study 86,Nature,2023,10.1000/dgm.0086
PUB0087,Genomic Study 87,Science,2024,10.1000/dgm.0087
PUB0088,Genomic Study 88,Cell,2025,10.1000/dgm.0088
PUB0089,Genomic Study 89,Lancet,2015,10.1000/dgm.0089
PUB0090,Genomic Study 90,NEJM,2016,10.1000/dgm.0090
PUB0091,Genomic Study 91,Nature,2017,10.1000/dgm.0091
PUB0092,Genomic Study 92,Science,2018,10.1000/dgm.0092
PUB0093,Genomic Study 93,Cell,2019,10.1000/dgm.0093
PUB0094,Genomic Study 94,Lancet,2020,10.1000/dgm.0094
PUB0095,Genomic Study 95,NEJM,2021,10.1000/dgm.0095
PUB0096,Genomic Study 96,Nature,2022,10.1000/dgm.0096
PUB0097,Genomic Study 97,Science,2023,10.1000/dgm.0097
PUB0098,Genomic Study 98,Cell,2024,10.1000/dgm.0098
PUB0099,Genomic Study 99,Lancet,2025,10.1000/dgm.0099
PUB0100,Genomic Study 100,NEJM,2015,10.1000/dgm.0100
PUB0101,Genomic Study 101,Nature,2016,10.1000/dgm.0101
PUB0102,Genomic Study 102,Science,2017,10.1000/dgm.0102
PUB0103,Genomic Study 103,Cell,2018,10.1000/dgm.0103
PUB0104,Genomic Study 104,Lancet,2019,10.1000/dgm.0104
PUB0105,Genomic Study 105,NEJM,2020,10.1000/dgm.0105
PUB0106,Genomic Study 106,Nature,2021,10.1000/dgm.0106
PUB0107,Genomic Study 107,Science,2022,10.1000/dgm.0107
PUB0108,Genomic Study 108,Cell,2023,10.1000/dgm.0108
PUB0109,Genomic Study 109,Lancet,2024,10.1000/dgm.0109
PUB0110,Genomic Study 110,NEJM,2025,10.1000/dgm.0110
PUB0111,Genomic Study 111,Nature,2015,10.1000/dgm.0111
PUB0112,Genomic Study 112,Science,2016,10.1000/dgm.0112
