gene_id,gene_symbol,gene_name,chromosome,function,protein
GENE0001,BRCA1,BRCA1 Associated Gene,1,DNA Repair,BRCA1 Protein
GENE0002,BRCA2,BRCA2 Associated Gene,2,Cell Signaling,BRCA2 Protein
GENE0003,TP53,TP53 Associated Gene,3,Tumor Suppression,TP53 Protein
GENE0004,EGFR,EGFR Associated Gene,4,Immune Regulation,EGFR Protein
GENE0005,KRAS,KRAS Associated Gene,5,Protein Synthesis,KRAS Protein
GENE0006,APOE,APOE Associated Gene,6,Metabolism,APOE Protein
GENE0007,CFTR,CFTR Associated Gene,7,Signal Transduction,CFTR Protein
GENE0008,PTEN,PTEN Associated Gene,8,Apoptosis,PTEN Protein
GENE0009,ALK,ALK Associated Gene,9,Cell Cycle Control,ALK Protein
GENE0010,VEGFA,VEGFA Associated Gene,10,Gene Expression,VEGFA Protein
GENE0011,TNF,TNF Associated Gene,11,DNA Repair,TNF Protein
GENE0012,IL6,IL6 Associated Gene,12,Cell Signaling,IL6 Protein
GENE0013,ESR1,ESR1 Associated Gene,13,Tumor Suppression,ESR1 Protein
GENE0014,ERBB2,ERBB2 Associated Gene,14,Immune Regulation,ERBB2 Protein
GENE0015,MYC,MYC Associated Gene,15,Protein Synthesis,MYC Protein
GENE0016,CDKN2A,CDKN2A Associated Gene,16,Metabolism,CDKN2A Protein
GENE0017,KIT,KIT Associated Gene,17,Signal Transduction,KIT Protein
GENE0018,PDGFRA,PDGFRA Associated Gene,18,Apoptosis,PDGFRA Protein
GENE0019,JAK2,JAK2 Associated Gene,19,Cell Cycle Control,JAK2 Protein
GENE0020,RET,RET Associated Gene,20,Gene Expression,RET Protein
GENE0021,GENE0021,GENE0021 Associated Gene,21,DNA Repair,GENE0021 Protein
GENE0022,GENE0022,GENE0022 Associated Gene,22,Cell Signaling,GENE0022 Protein
GENE0023,GENE0023,GENE0023 Associated Gene,1,Tumor Suppression,GENE0023 Protein
GENE0024,GENE0024,GENE0024 Associated Gene,2,Immune Regulation,GENE0024 Protein
GENE0025,GENE0025,GENE0025 Associated Gene,3,Protein Synthesis,GENE0025 Protein
GENE0026,GENE0026,GENE0026 Associated Gene,4,Metabolism,GENE0026 Protein
GENE0027,GENE0027,GENE0027 Associated Gene,5,Signal Transduction,GENE0027 Protein
GENE0028,GENE0028,GENE0028 Associated Gene,6,Apoptosis,GENE0028 Protein
GENE0029,GENE0029,GENE0029 Associated Gene,7,Cell Cycle Control,GENE0029 Protein
GENE0030,GENE0030,GENE0030 Associated Gene,8,Gene Expression,GENE0030 Protein
GENE0031,GENE0031,GENE0031 Associated Gene,9,DNA Repair,GENE0031 Protein
